"DriversKilled";"drivers";"front";"rear";"PetrolPrice";"law";"date"
107;1687;867;269;0.102971811805368;0;1969
97;1508;825;265;0.102362995884646;0;1969.08333333333
102;1507;806;319;0.102062490635914;0;1969.16666666667
87;1385;814;407;0.100873300511862;0;1969.25
119;1632;991;454;0.101019672891934;0;1969.33333333333
106;1511;945;427;0.10058119170287;0;1969.41666666667
110;1559;1004;522;0.103773981457839;0;1969.5
106;1630;1091;536;0.104076403554621;0;1969.58333333333
107;1579;958;405;0.103773981457839;0;1969.66666666667
134;1653;850;437;0.103026401330572;0;1969.75
147;2152;1109;434;0.102730112155946;0;1969.83333333333
180;2148;1113;437;0.101997191539847;0;1969.91666666667
125;1752;925;316;0.101274563494893;0;1970
134;1765;903;311;0.10070397563972;0;1970.08333333333
110;1717;1006;351;0.100139606658898;0;1970.16666666667
102;1558;892;362;0.0986211043713023;0;1970.25
103;1575;990;486;0.0983492854059603;0;1970.33333333333
111;1520;866;429;0.0980801772105387;0;1970.41666666667
120;1805;1095;551;0.0972792082183714;0;1970.5
129;1800;1204;646;0.0974106238350488;0;1970.58333333333
122;1719;1029;456;0.0974252365245483;0;1970.66666666667
183;2008;1147;475;0.0963806330037465;0;1970.75
169;2242;1171;456;0.0957389559626943;0;1970.83333333333
190;2478;1299;468;0.0951063062359475;0;1970.91666666667
134;2030;944;356;0.0967359671470176;0;1971
108;1655;874;271;0.0961092224873678;0;1971.08333333333
104;1693;840;354;0.095367254851379;0;1971.16666666667
117;1623;893;427;0.0947095915871269;0;1971.25
157;1805;1007;465;0.0941176202174608;0;1971.33333333333
148;1746;973;440;0.0935321548190638;0;1971.41666666667
130;1795;1097;539;0.0929540494377308;0;1971.5
140;1926;1194;646;0.0928397862431927;0;1971.58333333333
136;1619;988;457;0.0927247362539862;0;1971.66666666667
140;1992;1077;446;0.0922696509793897;0;1971.75
187;2233;1045;402;0.0917066851479679;0;1971.83333333333
150;2192;1115;441;0.0912620719433678;0;1971.91666666667
159;2080;1005;359;0.090711603254936;0;1972
143;1768;857;334;0.090276328119195;0;1972.08333333333
114;1835;879;312;0.0899519176272147;0;1972.16666666667
127;1569;887;427;0.0890996386561615;0;1972.25
159;1976;1075;434;0.0886791925043499;0;1972.33333333333
156;1853;1121;486;0.0881592888670634;0;1972.41666666667
138;1965;1190;569;0.0889020568552906;0;1972.5
120;1689;1058;523;0.0881813314444876;0;1972.58333333333
117;1778;939;418;0.0889402929599117;0;1972.66666666667
170;1976;1074;452;0.0877266104275971;0;1972.75
168;2397;1089;462;0.087428846437772;0;1972.83333333333
198;2654;1208;497;0.0870354301608856;0;1972.91666666667
144;2097;903;354;0.0864499193294655;0;1973
146;1963;916;347;0.0858726409121568;0;1973.08333333333
109;1677;787;276;0.0853982218357345;0;1973.16666666667
131;1941;1114;472;0.083821981233605;0;1973.25
151;2003;1014;487;0.0845907801489325;0;1973.33333333333
140;1813;1022;505;0.0841369037739444;0;1973.41666666667
153;2012;1114;619;0.0837784051341314;0;1973.5
140;1912;1132;640;0.0835107427259604;0;1973.58333333333
161;2084;1111;559;0.0828063938633846;0;1973.66666666667
168;2080;1008;453;0.0811788933269884;0;1973.75
152;2118;916;418;0.0828536069623417;0;1973.83333333333
136;2150;992;419;0.0941901186933595;0;1973.91666666667
113;1608;731;262;0.0923998429510411;0;1974
100;1503;665;299;0.108161478199019;0;1974.08333333333
103;1548;724;303;0.10721168869023;0;1974.16666666667
103;1382;744;401;0.114042966782082;0;1974.25
121;1731;910;413;0.112454115810183;0;1974.33333333333
134;1798;883;426;0.111316253290611;0;1974.41666666667
133;1779;900;516;0.11030125221242;0;1974.5
129;1887;1057;600;0.108197177376865;0;1974.58333333333
144;2004;1076;459;0.107027443082328;0;1974.66666666667
154;2077;919;443;0.104946980916917;0;1974.75
156;2092;920;412;0.119357749193208;0;1974.83333333333
163;2051;953;400;0.117621904277373;0;1974.91666666667
122;1577;664;278;0.133027420877451;0;1975
92;1356;607;302;0.130845243689729;0;1975.08333333333
117;1652;777;381;0.128318477474772;0;1975.16666666667
95;1382;633;279;0.123547448292297;0;1975.25
96;1519;791;442;0.118586811514179;0;1975.33333333333
108;1421;790;409;0.116337480161004;0;1975.41666666667
108;1442;803;416;0.11516147558196;0;1975.5
106;1543;884;511;0.114501197216867;0;1975.58333333333
140;1656;769;393;0.113522979499817;0;1975.66666666667
114;1561;732;345;0.111930179432996;0;1975.75
158;1905;859;391;0.110610528503361;0;1975.83333333333
161;2199;994;470;0.11527438914664;0;1975.91666666667
102;1473;704;266;0.113793485966034;0;1976
127;1655;684;312;0.112349582098189;0;1976.08333333333
125;1407;671;300;0.111753469387189;0;1976.16666666667
101;1395;643;373;0.109642522576533;0;1976.25
97;1530;771;412;0.10844089510559;0;1976.33333333333
112;1309;644;322;0.107884938936114;0;1976.41666666667
112;1526;828;458;0.109084769191454;0;1976.5
113;1327;748;427;0.107571450111271;0;1976.58333333333
108;1627;767;346;0.106164022368002;0;1976.66666666667
128;1748;825;421;0.106299999323319;0;1976.75
154;1958;810;344;0.104825313000088;0;1976.83333333333
162;2274;986;370;0.103451745711815;0;1976.91666666667
112;1648;714;291;0.101449920129493;0;1977
79;1401;567;224;0.100402316427863;0;1977.08333333334
82;1411;616;266;0.098862033680192;0;1977.16666666667
127;1403;678;338;0.102496154313521;0;1977.25
108;1394;742;298;0.103027431599736;0;1977.33333333334
110;1520;840;386;0.102178908220655;0;1977.41666666667
123;1528;888;479;0.0998366428726473;0;1977.5
103;1643;852;473;0.0926366895833353;0;1977.58333333334
97;1515;774;332;0.0918149629077569;0;1977.66666666667
140;1685;831;391;0.090724303768407;0;1977.75
165;2000;889;370;0.0900212072768793;0;1977.83333333334
183;2215;1046;431;0.0893307058230937;0;1977.91666666667
148;1956;889;366;0.0884427348717763;0;1978
111;1462;626;250;0.0883525692744791;0;1978.08333333334
116;1563;808;355;0.0867573619308237;0;1978.16666666667
115;1459;746;304;0.0849952420449752;0;1978.25
100;1446;754;379;0.0845679437213488;0;1978.33333333334
106;1622;865;440;0.0844318988774436;0;1978.41666666667
134;1657;980;500;0.0843508831482932;0;1978.5
125;1638;959;511;0.0836009830491076;0;1978.58333333334
117;1643;856;384;0.0834172630524962;0;1978.66666666667
122;1683;798;366;0.0827451397987249;0;1978.75
153;2050;942;432;0.0852352669035281;0;1978.83333333334
178;2262;1010;390;0.0847703028296526;0;1978.91666666667
114;1813;796;306;0.0844589214084587;0;1979
94;1445;643;232;0.085352119244763;0;1979.08333333334
128;1762;794;342;0.0875592125175749;0;1979.16666666667
119;1461;750;329;0.0903829170614837;0;1979.25
111;1556;809;394;0.0907832937355188;0;1979.33333333334
110;1431;716;355;0.108742780219868;0;1979.41666666667
114;1427;851;385;0.114142227335262;0;1979.5
118;1554;931;463;0.112992933231466;0;1979.58333333334
115;1645;834;453;0.111320706029796;0;1979.66666666667
132;1653;762;373;0.109126229280665;0;1979.75
153;2016;880;401;0.107698459343112;0;1979.83333333334
171;2207;1077;466;0.107601574334496;0;1979.91666666667
115;1665;748;306;0.103775019202843;0;1980
95;1361;593;263;0.107114170431059;0;1980.08333333334
92;1506;720;323;0.107374774370757;0;1980.16666666667
100;1360;646;310;0.111695372689559;0;1980.25
95;1453;765;424;0.110638184592354;0;1980.33333333334
114;1522;820;403;0.111855211329895;0;1980.41666666667
102;1460;807;406;0.109742342683337;0;1980.5
104;1552;885;466;0.108193931510232;0;1980.58333333334
132;1548;803;381;0.106255362697951;0;1980.66666666667
